description,team,priority
Load balancer health checks failing for the customer portal service,CLOUD,MEDIUM
Unable to connect to PostgreSQL instance from the order management system,DATABASE,HIGH
Monitoring dashboard for the internal wiki is not showing recent metrics,DEVOPS,LOW
Terraform apply failed while provisioning the payment gateway infrastructure,DEVOPS,MEDIUM
VLAN configuration issue causing intermittent connectivity,NETWORK,MEDIUM
Search functionality in the inventory system returns no results,APPLICATION,LOW
ECS service deployment stuck in pending state,CLOUD,LOW
Deadlock errors occurring on the orders table,DATABASE,HIGH
Database connection pool exhausted for the billing service,DATABASE,HIGH
the billing service dashboard is showing a blank page,APPLICATION,MEDIUM
S3 bucket permissions need to be updated for the reporting tool,CLOUD,HIGH
User reports their account may have been compromised,SECURITY,HIGH
Notifications are not being sent from the analytics platform,APPLICATION,MEDIUM
GitHub Actions workflow stuck and not completing,DEVOPS,HIGH
Database connection timeout on the the analytics platform service,DATABASE,LOW
Cloud storage costs increased significantly this month,CLOUD,MEDIUM
Lambda function timing out when processing the inventory system events,CLOUD,HIGH
Request to review firewall rules for compliance audit,SECURITY,HIGH
User reports their account may have been compromised,SECURITY,HIGH
Site-to-site VPN tunnel between offices is down,NETWORK,HIGH
Security scan flagged outdated software on several laptops,SECURITY,MEDIUM
Deployment of the billing service to production failed,DEVOPS,HIGH
VLAN configuration issue causing intermittent connectivity,NETWORK,HIGH
Access request for the HR portal needs security approval,SECURITY,MEDIUM
Network latency is very high when accessing internal sites,NETWORK,MEDIUM
Need to reset password and unlock account for Alex,SECURITY,MEDIUM
Need to roll back the latest deployment of the customer portal,DEVOPS,MEDIUM
Kubernetes pod for the HR portal is in CrashLoopBackOff,DEVOPS,HIGH
User reports their account may have been compromised,SECURITY,CRITICAL
Auto-scaling group did not scale up during traffic spike,CLOUD,LOW
User cannot upload files in the customer portal,APPLICATION,MEDIUM
Performance degradation reported on the HR portal,APPLICATION,LOW
VLAN configuration issue causing intermittent connectivity,NETWORK,HIGH
Need to restore a table from yesterday's database backup,DATABASE,MEDIUM
S3 bucket permissions need to be updated for the order management system,NETWORK,MEDIUM
User cannot access the internal network from the Toronto office,NETWORK,LOW
VPN connection keeps dropping for Lena,NETWORK,MEDIUM
User reports their account may have been compromised,SECURITY,HIGH
the customer portal mobile app crashes on startup,APPLICATION,CRITICAL
MySQL server crashed and restarted unexpectedly,DATABASE,HIGH
Notifications are not being sent from the payment gateway,APPLICATION,LOW
Getting connection errors when using the analytics platform,NETWORK,MEDIUM
Application crashes on login for Sam,APPLICATION,HIGH
the CRM outage affecting the Toronto office,CLOUD,CRITICAL
Database connection pool exhausted for the inventory system,DATABASE,LOW
VLAN configuration issue causing intermittent connectivity,NETWORK,LOW
Database backup job failed last night,DATABASE,MEDIUM
Database connection pool exhausted for the internal wiki,DATABASE,MEDIUM
Mei is getting a permission denied error in the billing service,APPLICATION,LOW
VLAN configuration issue causing intermittent connectivity,NETWORK,HIGH
Cloud storage costs increased significantly this month,CLOUD,HIGH
Build artifacts for the internal wiki are not being published,DEVOPS,CRITICAL
Database replication lag between primary and replica,DATABASE,LOW
Request to review firewall rules for compliance audit,SECURITY,MEDIUM
Application crashes on login for Sam,APPLICATION,LOW
High CPU usage on the database server during peak hours,DATABASE,MEDIUM
the CRM is running very slowly for all users,APPLICATION,HIGH
Database connection pool exhausted for the CRM,SECURITY,MEDIUM
CI/CD pipeline for the inventory system is failing on the build step,DEVOPS,HIGH
Lena cannot access the billing service at all,APPLICATION,LOW
Load balancer health checks failing for the analytics platform service,CLOUD,HIGH
the internal wiki is extremely slow for everyone,APPLICATION,MEDIUM
Incorrect totals displayed on the the billing service reports page,APPLICATION,MEDIUM
VPN connection keeps dropping for Wei,NETWORK,CRITICAL
Database connection timeout on the the internal wiki service,DATABASE,HIGH
Login is broken for Fatima on the billing service,APPLICATION,MEDIUM
Index rebuild required on the customers table for performance,DATABASE,MEDIUM
Site-to-site VPN tunnel between offices is down,NETWORK,MEDIUM
the CRM dashboard is showing a blank page,APPLICATION,HIGH
CI/CD pipeline for the customer portal is failing on the build step,DEVOPS,CRITICAL
Search functionality in the CRM returns no results,APPLICATION,LOW
the internal wiki outage affecting the remote office,CLOUD,MEDIUM
Deployment of the order management system to production failed,DEVOPS,MEDIUM
Load balancer health checks failing for the payment gateway service,CLOUD,LOW
Load balancer health checks failing for the analytics platform service,CLOUD,MEDIUM
ECS task for the CRM keeps restarting,CLOUD,MEDIUM
Carlos is getting a permission denied error in the reporting tool,APPLICATION,LOW
Terraform apply failed while provisioning the billing service infrastructure,CLOUD,CRITICAL
Ethernet port in conference room B4 is not working,NETWORK,MEDIUM
the customer portal dashboard is showing a blank page,APPLICATION,MEDIUM
Load balancer health checks failing for the HR portal service,CLOUD,LOW
VPN connection keeps dropping for Maria,NETWORK,MEDIUM
Need a new IAM role created for the the HR portal team,CLOUD,CRITICAL
CloudWatch alarms not triggering notifications,CLOUD,HIGH
Build artifacts for the order management system are not being published,DEVOPS,LOW
Index rebuild required on the customers table for performance,DATABASE,LOW
Performance degradation reported on the internal wiki,APPLICATION,MEDIUM
the payment gateway outage affecting the Bangalore office,CLOUD,LOW
Wei cannot access the order management system at all,APPLICATION,LOW
Lambda function timing out when processing the reporting tool events,CLOUD,CRITICAL
Application crashes on login for Fatima,APPLICATION,HIGH
Notifications are not being sent from the analytics platform,APPLICATION,LOW
Ransomware alert triggered by endpoint protection on Carlos's laptop,SECURITY,LOW
Error 500 when submitting the form on the internal wiki,APPLICATION,HIGH
Need access to deployment logs for the internal wiki,DEVOPS,MEDIUM
Terraform apply failed while provisioning the HR portal infrastructure,DEVOPS,LOW
Remote employees cannot reach the corporate intranet,NETWORK,HIGH
User cannot upload files in the CRM,DEVOPS,LOW
ECS service deployment stuck in pending state,CLOUD,HIGH
Ransomware alert triggered by endpoint protection on Alex's laptop,SECURITY,LOW
High CPU usage on the database server during peak hours,DATABASE,MEDIUM
the CRM login page is stuck on loading spinner,APPLICATION,LOW
the order management system deployment caused an outage,DEVOPS,HIGH
Ethernet port in conference room B4 is not working,NETWORK,MEDIUM
Ethernet port in conference room A12 is not working,NETWORK,HIGH
Deadlock errors occurring on the orders table,DATABASE,MEDIUM
User reports their account may have been compromised,SECURITY,MEDIUM
DNS resolution is failing for internal domains,NETWORK,LOW
Deployment of the payment gateway to production failed,DEVOPS,LOW
the HR portal dashboard is showing a blank page,APPLICATION,MEDIUM
Access request for the internal wiki needs security approval,SECURITY,LOW
the order management system is down and users cannot log in,APPLICATION,CRITICAL
Production database is running out of disk space,DATABASE,MEDIUM
Kubernetes pod for the customer portal is in CrashLoopBackOff,DEVOPS,HIGH
Need to roll back the latest deployment of the billing service,DEVOPS,MEDIUM
SSL certificate for the internal wiki is expiring soon,SECURITY,LOW
the order management system is down and users cannot log in,NETWORK,LOW
ECS task for the payment gateway keeps restarting,CLOUD,MEDIUM
the HR portal dashboard is showing a blank page,APPLICATION,LOW
Malware detected on a workstation in the New York office,SECURITY,CRITICAL
Network latency is very high when accessing internal sites,NETWORK,LOW
User cannot upload files in the CRM,APPLICATION,HIGH
the analytics platform dashboard is showing a blank page,APPLICATION,MEDIUM
Production database is running out of disk space,DATABASE,CRITICAL
Deadlock errors occurring on the orders table,DATABASE,HIGH
Multi-factor authentication not working for Lena,SECURITY,MEDIUM
Ethernet port in conference room A12 is not working,NETWORK,HIGH
Notifications are not being sent from the reporting tool,APPLICATION,MEDIUM
Need to add a new secret to the the HR portal pipeline,DEVOPS,CRITICAL
Need a new IAM role created for the the inventory system team,CLOUD,HIGH
Terraform apply failed while provisioning the reporting tool infrastructure,DEVOPS,LOW
Need to add a new secret to the the customer portal pipeline,DATABASE,MEDIUM
Index rebuild required on the customers table for performance,DATABASE,HIGH
Phishing email reported by Sam,SECURITY,LOW
User reports their account may have been compromised,SECURITY,HIGH
Cloud storage costs increased significantly this month,CLOUD,MEDIUM
User reports their account may have been compromised,SECURITY,HIGH
the HR portal is down and users cannot log in,APPLICATION,MEDIUM
CI/CD pipeline for the order management system is failing on the build step,DEVOPS,MEDIUM
Request to review firewall rules for compliance audit,SECURITY,LOW
Deployment of the CRM to production failed,DEVOPS,LOW
Alex is getting a permission denied error in the CRM,APPLICATION,MEDIUM
S3 bucket permissions need to be updated for the customer portal,CLOUD,MEDIUM
S3 bucket permissions need to be updated for the order management system,CLOUD,CRITICAL
the inventory system login page is stuck on loading spinner,APPLICATION,LOW
Need to roll back the latest deployment of the customer portal,DEVOPS,MEDIUM
Auto-scaling group did not scale up during traffic spike,CLOUD,LOW
Build artifacts for the order management system are not being published,DEVOPS,MEDIUM
CloudWatch alarms not triggering notifications,CLOUD,CRITICAL
Error 500 when submitting the form on the reporting tool,APPLICATION,MEDIUM
Need to restore a table from yesterday's database backup,DATABASE,CRITICAL
Database connection pool exhausted for the analytics platform,DATABASE,MEDIUM
Database connection timeout on the the payment gateway service,DATABASE,MEDIUM
High CPU usage on the database server during peak hours,DATABASE,MEDIUM
Need to restore a table from yesterday's database backup,DATABASE,HIGH
ECS service deployment stuck in pending state,CLOUD,LOW
Getting connection errors when using the analytics platform,NETWORK,HIGH
SSL certificate for the analytics platform is expiring soon,SECURITY,HIGH
Monitoring dashboard for the reporting tool is not showing recent metrics,DEVOPS,LOW
Error 500 when submitting the form on the billing service,APPLICATION,LOW
the HR portal is extremely slow for everyone,APPLICATION,HIGH
Database connection pool exhausted for the customer portal,DATABASE,MEDIUM
Malware detected on a workstation in the Bangalore office,SECURITY,LOW
VLAN configuration issue causing intermittent connectivity,NETWORK,LOW
Multi-factor authentication not working for Mei,SECURITY,HIGH
Cloud storage costs increased significantly this month,CLOUD,MEDIUM
the analytics platform is down and users cannot log in,APPLICATION,LOW
Network latency is very high when accessing internal sites,NETWORK,MEDIUM
Error 500 when submitting the form on the inventory system,APPLICATION,MEDIUM
Database replication lag between primary and replica,DATABASE,LOW
GitHub Actions workflow stuck and not completing,DEVOPS,MEDIUM
Need to provision a new environment for the analytics platform on AWS,CLOUD,MEDIUM
the reporting tool outage affecting the London office,CLOUD,HIGH
Cloud storage costs increased significantly this month,CLOUD,LOW
Malware detected on a workstation in the London office,SECURITY,LOW
Packet loss detected on the Bangalore network segment,NETWORK,MEDIUM
DNS resolution is failing for internal domains,NETWORK,LOW
ECS service deployment stuck in pending state,CLOUD,CRITICAL
the HR portal dashboard is showing a blank page,APPLICATION,MEDIUM
Getting connection errors when using the inventory system,NETWORK,HIGH
Docker container for the reporting tool keeps crashing on startup,DEVOPS,HIGH
the inventory system is running very slowly for all users,APPLICATION,LOW
User cannot upload files in the HR portal,APPLICATION,MEDIUM
Index rebuild required on the customers table for performance,DATABASE,LOW
Docker container for the internal wiki keeps crashing on startup,DEVOPS,HIGH
Notifications are not being sent from the billing service,APPLICATION,MEDIUM
the CRM is extremely slow for everyone,APPLICATION,CRITICAL
Firewall is blocking access to the customer portal,NETWORK,LOW
Terraform apply failed while provisioning the reporting tool infrastructure,DEVOPS,LOW
Need to reset password and unlock account for Mei,SECURITY,LOW
Multi-factor authentication not working for Lena,SECURITY,HIGH
Need to provision a new environment for the inventory system on AWS,CLOUD,HIGH
SSL certificate for the payment gateway is expiring soon,SECURITY,CRITICAL
User cannot upload files in the internal wiki,APPLICATION,LOW
Security scan flagged outdated software on several laptops,SECURITY,MEDIUM
Request to review firewall rules for compliance audit,SECURITY,HIGH
Login is broken for Mei on the HR portal,APPLICATION,CRITICAL
the payment gateway deployment caused an outage,DEVOPS,LOW
Remote employees cannot reach the corporate intranet,NETWORK,CRITICAL
the inventory system is extremely slow for everyone,APPLICATION,MEDIUM
Cloud storage costs increased significantly this month,CLOUD,MEDIUM
Build artifacts for the order management system are not being published,DEVOPS,MEDIUM
RDS instance for the CRM needs to be resized,CLOUD,LOW
Cloud storage costs increased significantly this month,CLOUD,MEDIUM
the customer portal is running very slowly for all users,APPLICATION,LOW
Performance degradation reported on the inventory system,APPLICATION,MEDIUM
Mei cannot access the inventory system at all,APPLICATION,CRITICAL
Access request for the order management system needs security approval,SECURITY,CRITICAL
VPN connection keeps dropping for Alex,NETWORK,HIGH
GitHub Actions workflow stuck and not completing,DEVOPS,MEDIUM
RDS instance for the internal wiki needs to be resized,CLOUD,MEDIUM
Deadlock errors occurring on the orders table,DATABASE,HIGH
Application crashes on login for Maria,APPLICATION,LOW
Deadlock errors occurring on the orders table,DATABASE,CRITICAL
Database connection pool exhausted for the CRM,DATABASE,HIGH
the analytics platform login page is stuck on loading spinner,APPLICATION,MEDIUM
Database backup job failed last night,DATABASE,MEDIUM
RDS instance for the CRM needs to be resized,CLOUD,MEDIUM
Phishing email reported by Mei,SECURITY,MEDIUM
the CRM is down and users cannot log in,APPLICATION,HIGH
Deployment of the HR portal to production failed,DEVOPS,LOW
Unable to connect to the office VPN from home,NETWORK,CRITICAL
Need to add a new secret to the the HR portal pipeline,DEVOPS,MEDIUM
Access request for the payment gateway needs security approval,SECURITY,MEDIUM
Docker container for the HR portal keeps crashing on startup,DATABASE,LOW
High CPU usage on the database server during peak hours,DATABASE,LOW
CloudWatch alarms not triggering notifications,CLOUD,MEDIUM
John cannot access the customer portal at all,APPLICATION,MEDIUM
the inventory system is running very slowly for all users,APPLICATION,MEDIUM
the analytics platform login page is stuck on loading spinner,APPLICATION,HIGH
Site-to-site VPN tunnel between offices is down,NETWORK,MEDIUM
Lena cannot access the inventory system at all,APPLICATION,LOW
GitHub Actions workflow stuck and not completing,DEVOPS,HIGH
Notifications are not being sent from the customer portal,APPLICATION,CRITICAL
Monitoring dashboard for the HR portal is not showing recent metrics,DEVOPS,HIGH
Getting connection errors when using the customer portal,NETWORK,CRITICAL
Ransomware alert triggered by endpoint protection on Priya's laptop,SECURITY,MEDIUM
Need a new IAM role created for the the CRM team,CLOUD,LOW
Remote employees cannot reach the corporate intranet,NETWORK,CRITICAL
Firewall is blocking access to the inventory system,NETWORK,MEDIUM
Phishing email reported by John,SECURITY,MEDIUM
Need to reset password and unlock account for Alex,NETWORK,MEDIUM
Slow query performance on the the internal wiki reporting database,DATABASE,HIGH
Need to roll back the latest deployment of the order management system,DEVOPS,MEDIUM
Need to roll back the latest deployment of the payment gateway,DEVOPS,HIGH
Need to restore a table from yesterday's database backup,DATABASE,CRITICAL
User cannot access the internal network from the remote office,NETWORK,MEDIUM
User reports their account may have been compromised,SECURITY,HIGH
Notifications are not being sent from the customer portal,APPLICATION,LOW
the reporting tool is extremely slow for everyone,DATABASE,HIGH
Database connection pool exhausted for the payment gateway,DATABASE,CRITICAL
AWS EC2 instance for the HR portal is not responding,CLOUD,CRITICAL
Access request for the customer portal needs security approval,SECURITY,MEDIUM
User reports their account may have been compromised,SECURITY,MEDIUM
Database replication lag between primary and replica,DATABASE,MEDIUM
the CRM is down and users cannot log in,APPLICATION,HIGH
Login is broken for Alex on the inventory system,SECURITY,LOW
Load balancer health checks failing for the billing service service,DEVOPS,LOW
Cloud storage costs increased significantly this month,CLOUD,LOW
Need to restore a table from yesterday's database backup,APPLICATION,HIGH
Site-to-site VPN tunnel between offices is down,NETWORK,MEDIUM
Database connection pool exhausted for the customer portal,CLOUD,MEDIUM
High CPU usage on the database server during peak hours,DATABASE,MEDIUM
Need to reset password and unlock account for Mei,SECURITY,MEDIUM
Ethernet port in conference room C201 is not working,CLOUD,LOW
Getting connection errors when using the customer portal,NETWORK,MEDIUM
Need to restore a table from yesterday's database backup,DATABASE,LOW
the HR portal mobile app crashes on startup,DEVOPS,MEDIUM
Site-to-site VPN tunnel between offices is down,NETWORK,MEDIUM
the analytics platform is extremely slow for everyone,APPLICATION,CRITICAL
Lambda function timing out when processing the analytics platform events,CLOUD,HIGH
High CPU usage on the database server during peak hours,DATABASE,LOW
Unable to connect to PostgreSQL instance from the reporting tool,DATABASE,MEDIUM
Phishing email reported by Lena,SECURITY,HIGH
High CPU usage on the database server during peak hours,DATABASE,LOW
Database connection timeout on the the internal wiki service,DATABASE,MEDIUM
Performance degradation reported on the HR portal,APPLICATION,MEDIUM
Need to add a new secret to the the reporting tool pipeline,DEVOPS,LOW
CloudWatch alarms not triggering notifications,CLOUD,HIGH
Monitoring dashboard for the order management system is not showing recent metrics,DEVOPS,CRITICAL
Unable to connect to PostgreSQL instance from the order management system,DATABASE,HIGH
Request to review firewall rules for compliance audit,SECURITY,MEDIUM
Deployment of the HR portal to production failed,DEVOPS,MEDIUM
Load balancer health checks failing for the internal wiki service,CLOUD,LOW
GitHub Actions workflow stuck and not completing,DEVOPS,HIGH
Error 500 when submitting the form on the analytics platform,APPLICATION,MEDIUM
VPN connection keeps dropping for Alex,NETWORK,HIGH
Need to provision a new environment for the billing service on AWS,CLOUD,MEDIUM
Need access to deployment logs for the payment gateway,DEVOPS,MEDIUM
Alex is getting a permission denied error in the analytics platform,APPLICATION,HIGH
Suspicious login attempts detected on Sam's account,SECURITY,MEDIUM
Security scan flagged outdated software on several laptops,SECURITY,HIGH
Notifications are not being sent from the order management system,APPLICATION,HIGH
User cannot access the internal network from the Toronto office,NETWORK,MEDIUM
the HR portal is running very slowly for all users,APPLICATION,HIGH
Need access to deployment logs for the CRM,DEVOPS,HIGH
Access request for the internal wiki needs security approval,SECURITY,CRITICAL
Need to reset password and unlock account for John,SECURITY,MEDIUM
Need access to deployment logs for the customer portal,DEVOPS,LOW
Feature request: add export to CSV in the internal wiki,APPLICATION,MEDIUM
S3 bucket permissions need to be updated for the analytics platform,CLOUD,HIGH
Need access to deployment logs for the billing service,DEVOPS,MEDIUM
GitHub Actions workflow stuck and not completing,DEVOPS,MEDIUM
Need to restore a table from yesterday's database backup,DATABASE,HIGH
the inventory system is extremely slow for everyone,APPLICATION,LOW
Terraform apply failed while provisioning the CRM infrastructure,DEVOPS,MEDIUM
Deadlock errors occurring on the orders table,DATABASE,LOW
ECS task for the billing service keeps restarting,CLOUD,LOW
Performance degradation reported on the billing service,APPLICATION,MEDIUM
Need access to deployment logs for the payment gateway,DEVOPS,HIGH
AWS EC2 instance for the inventory system is not responding,CLOUD,HIGH
Auto-scaling group did not scale up during traffic spike,CLOUD,CRITICAL
User cannot upload files in the billing service,APPLICATION,HIGH
Load balancer health checks failing for the HR portal service,CLOUD,LOW
High CPU usage on the database server during peak hours,DATABASE,MEDIUM
Wi-Fi is down on the 3rd floor,NETWORK,HIGH
VPN connection keeps dropping for Wei,NETWORK,LOW
Notifications are not being sent from the CRM,APPLICATION,HIGH
Docker container for the internal wiki keeps crashing on startup,DEVOPS,CRITICAL
the customer portal dashboard is showing a blank page,APPLICATION,LOW
Error 500 when submitting the form on the customer portal,APPLICATION,HIGH
Access request for the reporting tool needs security approval,SECURITY,MEDIUM
Terraform apply failed while provisioning the HR portal infrastructure,DEVOPS,HIGH
Load balancer health checks failing for the billing service service,DATABASE,MEDIUM
Application crashes on login for Maria,APPLICATION,CRITICAL
Database backup job failed last night,DATABASE,MEDIUM
User cannot access the internal network from the Toronto office,NETWORK,LOW
Need access to deployment logs for the analytics platform,DEVOPS,MEDIUM
Production database is running out of disk space,DATABASE,LOW
Login is broken for Carlos on the CRM,APPLICATION,LOW
the internal wiki deployment caused an outage,DEVOPS,LOW
Cloud storage costs increased significantly this month,CLOUD,MEDIUM
Unauthorized access attempt blocked by intrusion detection,SECURITY,HIGH
Need to restore a table from yesterday's database backup,DATABASE,LOW
Site-to-site VPN tunnel between offices is down,NETWORK,HIGH
the analytics platform deployment caused an outage,DEVOPS,MEDIUM
Need a new IAM role created for the the analytics platform team,CLOUD,CRITICAL
Maria is getting a permission denied error in the analytics platform,APPLICATION,LOW
GitHub Actions workflow stuck and not completing,DEVOPS,HIGH
ECS task for the order management system keeps restarting,CLOUD,LOW
Unauthorized access attempt blocked by intrusion detection,SECURITY,MEDIUM
Multi-factor authentication not working for Priya,NETWORK,LOW
Phishing email reported by Alex,SECURITY,LOW
the analytics platform outage affecting the remote office,CLOUD,MEDIUM
Terraform apply failed while provisioning the CRM infrastructure,DEVOPS,LOW
Ransomware alert triggered by endpoint protection on Lena's laptop,SECURITY,LOW
Multi-factor authentication not working for Fatima,SECURITY,LOW
VPN connection keeps dropping for Priya,NETWORK,MEDIUM
Need access to deployment logs for the order management system,DEVOPS,LOW
Security scan flagged outdated software on several laptops,SECURITY,HIGH
the HR portal dashboard is showing a blank page,APPLICATION,MEDIUM
Network latency is very high when accessing internal sites,NETWORK,LOW
Index rebuild required on the customers table for performance,DATABASE,LOW
Search functionality in the inventory system returns no results,APPLICATION,MEDIUM
Security scan flagged outdated software on several laptops,SECURITY,MEDIUM
Malware detected on a workstation in the Toronto office,SECURITY,HIGH
Fatima is getting a permission denied error in the order management system,APPLICATION,LOW
Network latency is very high when accessing internal sites,NETWORK,HIGH
the payment gateway outage affecting the Bangalore office,CLOUD,HIGH
Need a new IAM role created for the the reporting tool team,CLOUD,MEDIUM
Database connection pool exhausted for the payment gateway,DATABASE,HIGH
Firewall is blocking access to the customer portal,NETWORK,HIGH
Unable to connect to PostgreSQL instance from the CRM,DATABASE,MEDIUM
Login is broken for Fatima on the customer portal,APPLICATION,MEDIUM
Search functionality in the customer portal returns no results,APPLICATION,HIGH
Monitoring dashboard for the payment gateway is not showing recent metrics,DEVOPS,HIGH
Site-to-site VPN tunnel between offices is down,NETWORK,MEDIUM
Phishing email reported by Wei,SECURITY,LOW
Login is broken for Fatima on the customer portal,APPLICATION,MEDIUM
Site-to-site VPN tunnel between offices is down,NETWORK,LOW
S3 bucket permissions need to be updated for the CRM,CLOUD,MEDIUM
Error 500 when submitting the form on the CRM,APPLICATION,CRITICAL
Remote employees cannot reach the corporate intranet,NETWORK,HIGH
S3 bucket permissions need to be updated for the billing service,CLOUD,LOW
the order management system deployment caused an outage,DEVOPS,LOW
Auto-scaling group did not scale up during traffic spike,CLOUD,MEDIUM
CI/CD pipeline for the internal wiki is failing on the build step,DEVOPS,MEDIUM
the internal wiki is extremely slow for everyone,APPLICATION,HIGH
Feature request: add export to CSV in the internal wiki,APPLICATION,CRITICAL
Remote employees cannot reach the corporate intranet,NETWORK,LOW
High CPU usage on the database server during peak hours,DATABASE,HIGH
CloudWatch alarms not triggering notifications,CLOUD,CRITICAL
Getting connection errors when using the order management system,NETWORK,MEDIUM
Multi-factor authentication not working for Wei,SECURITY,HIGH
VLAN configuration issue causing intermittent connectivity,NETWORK,MEDIUM
Security scan flagged outdated software on several laptops,SECURITY,LOW
the reporting tool outage affecting the Toronto office,CLOUD,LOW
Need a new staging environment set up for the payment gateway,DEVOPS,LOW
S3 bucket permissions need to be updated for the CRM,CLOUD,HIGH
the analytics platform is extremely slow for everyone,DATABASE,CRITICAL
Database replication lag between primary and replica,DATABASE,MEDIUM
Packet loss detected on the remote network segment,SECURITY,HIGH
Search functionality in the HR portal returns no results,APPLICATION,HIGH
Terraform apply failed while provisioning the billing service infrastructure,DEVOPS,LOW
VPN connection keeps dropping for Fatima,NETWORK,CRITICAL
Need a new IAM role created for the the payment gateway team,CLOUD,HIGH
Multi-factor authentication not working for Alex,SECURITY,CRITICAL
Production database is running out of disk space,DATABASE,MEDIUM
